spec,name,gaia_dr3,dr3_class,final_epoch,basis
campaigns/toi-3500-02.yaml,TOI-3500.02,3471495415361216512,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.7 mas, r(2000.0) 1084.1 mas"
campaigns/toi-3724-01.yaml,TOI-3724.01,183985232046648576,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.1 mas, r(2000.0) 301.2 mas"
campaigns/toi-4187-02.yaml,TOI-4187.02,5048187328587727744,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.0 mas, r(2000.0) 1444.6 mas"
campaigns/toi-429-01.yaml,TOI-429.01,4777069717050967040,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 2.0 mas, r(2000.0) 3549.9 mas"
campaigns/toi-4309-01.yaml,TOI-4309.01,3762126059756436480,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.3 mas, r(2000.0) 3131.5 mas"
campaigns/toi-4319-01.yaml,TOI-4319.01,5556279417085330816,inconsistent,J2015.5,"DR3 propagated: r(2015.5) 13.9 mas, r(2000.0) 1245.5 mas; direct match to Gaia DR2 5556279417085330816 (ref_epoch 2015.5) at 0.83 mas"
campaigns/toi-4321-01.yaml,TOI-4321.01,6395607011309867520,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.4 mas, r(2000.0) 876.6 mas"
campaigns/toi-4355-01.yaml,TOI-4355.01,5497773372578215296,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.0 mas, r(2000.0) 2228.1 mas"
campaigns/toi-4509-01.yaml,TOI-4509.01,5501711995027853568,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.6 mas, r(2000.0) 90.9 mas"
campaigns/toi-4585-01.yaml,TOI-4585.01,2157077647164391296,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.7 mas, r(2000.0) 439.4 mas"
campaigns/toi-5523-01.yaml,TOI-5523.01,3789847707126025600,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 1.8 mas, r(2000.0) 451.6 mas"
campaigns/toi-5563-01.yaml,TOI-5563.01,643250349909794816,J2015.5,J2015.5,"DR3 propagated: r(2015.5) 0.1 mas, r(2000.0) 957.6 mas"
