spec,name,tic,ra_deg,dec_deg,epoch_label,position_source,tmag,query_utc,n_gaia,gaia_source_id,gaia_ra,gaia_dec,pmra,pmdec,parallax,g_mag,match_is_brightest,pm_total_masyr,shift_16yr_mas,res2015_ra_mas,res2015_dec_mas,res2015_mas,res2000_ra_mas,res2000_dec_mas,res2000_mas,epoch_class,reason,query_error
campaigns/toi-2270-01.yaml,TOI-2270.01,198178505,244.382265,61.368246,J2000.0,NASA Exoplanet Archive TOI table,7.7293,2026-09-25T21:22:26Z,1,1628115694100538624,244.3822991414825,61.36823597044569,118.87722419249391,-71.17910584668654,10.612808529053023,8.068091,True,138.558,2216.925,0.543,0.517,0.750,1843.140,-1102.759,2147.846,J2015.5,,
campaigns/toi-2277-01.yaml,TOI-2277.01,288516853,273.497311,80.658462,J2000.0,NASA Exoplanet Archive TOI table,7.98614,2026-09-25T21:22:40Z,1,2294551716287593344,273.49733297631224,80.65846811206302,25.30446269475116,44.23722090877468,6.386150174714354,8.354985,True,50.963,815.411,-0.190,0.115,0.222,392.030,685.792,789.935,J2015.5,,
campaigns/toi-2298-01.yaml,TOI-2298.01,229608594,274.512058,74.466535,J2000.0,NASA Exoplanet Archive TOI table,11.1919,2026-09-25T21:22:52Z,1,2267279837892767488,274.5120669894551,74.46652606412563,17.82351472860234,-67.15378172514792,11.922053129985507,11.944073,True,69.479,1111.661,0.245,-1.408,1.429,276.510,-1042.291,1078.345,J2015.5,,
campaigns/toi-2300-03.yaml,TOI-2300.03,280031353,297.416187,68.883354,J2000.0,NASA Exoplanet Archive TOI table,11.8231,2026-09-25T21:23:06Z,1,2250961264271388672,297.4161939683585,68.88335387704402,17.614450030763127,2.2038157917359054,4.479464171635415,12.354272,True,17.752,284.028,-0.230,1.545,1.562,272.793,35.704,275.120,J2015.5,,
campaigns/toi-2318-01.yaml,TOI-2318.01,88840705,262.589332,40.369465,J2000.0,NASA Exoplanet Archive TOI table,8.6512,2026-09-25T21:23:30Z,1,1346780595884995968,262.589338765364,40.36945896815045,3.946855454906184,-59.95529563780655,11.629785550771135,9.470051,True,60.085,961.361,-16.582,-8.263,18.527,44.594,-937.570,938.630,inconsistent,"neither epoch within tolerance, or not clearly separated",
campaigns/toi-2423-01.yaml,TOI-2423.01,197807043,53.467245,-57.621295,J2000.0,NASA Exoplanet Archive TOI table,9.5137,2026-09-25T21:23:46Z,1,4729324799004633472,53.46724135553531,-57.6212940197544,-12.463249235372025,6.625908516631449,7.015620656077923,9.911275,True,14.115,225.841,0.794,-0.216,0.823,-192.386,102.486,217.981,J2015.5,,
campaigns/toi-2433-01.yaml,TOI-2433.01,405763009,299.440244,56.971091,J2000.0,NASA Exoplanet Archive TOI table,12.0349,2026-09-25T21:24:00Z,1,2234652178234899712,299.44028290604115,56.971106600912016,151.91588654162516,115.54127316749842,30.634640613206543,13.285797,True,190.862,3053.789,-0.384,1.607,1.653,2354.312,1792.497,2959.025,J2015.5,,
campaigns/toi-2435-01.yaml,TOI-2435.01,298164705,219.338411,56.666184,J2000.0,NASA Exoplanet Archive TOI table,10.5142,2026-09-25T21:24:17Z,1,1610656720761692928,219.3384025098253,56.66618395602793,-35.187935020872956,-0.9010738691906728,6.657603331436412,10.977693,True,35.199,563.192,-0.798,-0.292,0.850,-546.211,-14.259,546.397,J2015.5,,
campaigns/toi-2436-01.yaml,TOI-2436.01,154568734,191.297899,72.123084,J2000.0,NASA Exoplanet Archive TOI table,8.55595,2026-09-25T21:24:31Z,1,1689544206152233472,191.29786942057353,72.12308150398265,-64.70339252411497,-20.657904366513478,9.780615991421325,8.920298,True,67.921,1086.738,0.337,-1.343,1.385,-1002.566,-321.541,1052.866,J2015.5,,
campaigns/toi-2456-01.yaml,TOI-2456.01,311271011,80.57987,10.575049,J2000.0,NASA Exoplanet Archive TOI table,9.588,2026-09-25T21:24:45Z,1,3339208743313866368,80.57987612409035,10.575040991592044,45.01816626730001,-61.089089197825345,14.60606265270603,10.170181,True,75.885,1214.158,0.837,-1.714,1.908,698.618,-948.595,1178.092,J2015.5,,
campaigns/toi-2472-01.yaml,TOI-2472.01,248650906,67.042733,-3.145653,J2000.0,NASA Exoplanet Archive TOI table,8.94848,2026-09-25T21:24:59Z,1,3204809355377070336,67.04273315777776,-3.1456561947714223,3.081522103399116,-23.40066469313572,6.792042262359169,9.384185,True,23.603,377.643,0.974,-0.199,0.994,48.737,-362.909,366.167,J2015.5,,
campaigns/toi-2490-01.yaml,TOI-2490.01,77437543,73.124509,-36.257098,J2000.0,NASA Exoplanet Archive TOI table,11.2759,2026-09-25T21:25:13Z,1,4818818585874648320,73.1245128086102,-36.25709623870886,19.449806418810283,12.607312188701048,3.7361687059139497,11.756224,True,23.178,370.855,-1.331,-0.037,1.332,300.141,195.376,358.129,J2015.5,,
campaigns/toi-2493-01.yaml,TOI-2493.01,123664207,89.746248,-21.575094,J2000.0,NASA Exoplanet Archive TOI table,11.433,2026-09-25T21:25:28Z,1,2917842382508546560,89.74625341717984,-21.575078367837236,33.258650844241565,113.14680383644715,10.774206291942223,12.180714,True,117.934,1886.938,-1.506,0.298,1.535,514.003,1754.073,1827.832,J2015.5,,
campaigns/toi-2530-01.yaml,TOI-2530.01,52059926,16.772687,-68.368103,J2000.0,NASA Exoplanet Archive TOI table,12.7296,2026-09-25T21:25:43Z,1,4692151513459769088,16.77267961582743,-68.36810476695253,-19.32346818241158,-11.843340069117307,4.586410568136709,13.413478,True,22.664,362.625,0.138,0.439,0.460,-299.376,-183.132,350.946,J2015.5,,
campaigns/toi-2534-01.yaml,TOI-2534.01,219332978,338.644613,-57.570425,J2000.0,NASA Exoplanet Archive TOI table,10.8209,2026-09-25T21:25:57Z,2,6504497488964997632,338.64461419218486,-57.570424647876465,3.1754021677400313,0.5243596356145696,2.5221530773206946,11.140731,True,3.218,51.494,-0.714,-1.005,1.233,48.505,7.122,49.025,J2015.5,,
