plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"GJ 1214 b",0.4543,,,,,,0.11620,"Very Large Telescope (Antu)","FORS","<a refstr=DE_MOOIJ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771..109D/abstract target=ref>de Mooij et al. 2013</a>"
"GJ 1214 b",0.4600,,,,,,0.11980,"Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory","GROND","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.4962,,,,,,0.11740,"Isaac Newton Group's Isaac Newton Telescope","WFC","<a refstr=DE_MOOIJ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771..109D/abstract target=ref>de Mooij et al. 2013</a>"
"GJ 1214 b",0.4996,,,,,,0.11800,"Isaac Newton Group's William Herschel Telescope","ACAM","<a refstr=DE_MOOIJ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771..109D/abstract target=ref>de Mooij et al. 2013</a>"
"GJ 1214 b",0.5000,,,,,,0.11760,"Large Binocular Telescope Observatory","LBC","<a refstr=NASCIMBENI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A.113N/abstract target=ref>Nascimbeni et al. 2015</a>"
"GJ 1214 b",0.5078,0.1157,,,,,0.11360,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.5926,0.0539,,,,,0.11320,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.6200,,,,,,0.11680,"Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory","GROND","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.6200,0.0200,,,,,0.11730,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6300,,,,,,0.11430,"Isaac Newton Group's Isaac Newton Telescope","WFC","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.6351,0.0310,,,,,0.11470,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.6400,0.0200,,,,,0.11950,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6535,0.0012,,,,,0.11510,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=MURGAS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...544A..41M/abstract target=ref>Murgas et al. 2012</a>"
"GJ 1214 b",0.6563,0.0012,,,,,0.12170,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=MURGAS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...544A..41M/abstract target=ref>Murgas et al. 2012</a>"
"GJ 1214 b",0.6600,0.0200,,,,,0.11670,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6620,0.0012,,,,,0.11840,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=MURGAS_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...544A..41M/abstract target=ref>Murgas et al. 2012</a>"
"GJ 1214 b",0.6800,0.0200,,,,,0.11940,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.6825,0.0458,,,,,0.11330,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.7000,0.0200,,,,,0.11690,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7200,0.0200,,,,,0.11640,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7300,0.2400,,,,,0.11780,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7369,0.0231,,,,,0.11420,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.7400,0.0200,,,,,0.11820,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7600,,,,,,0.11620,"Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory","GROND","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.7600,0.0200,,,,,0.11870,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7606,0.0243,,,,,0.11460,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.7750,,,,,,0.11750,"Large Binocular Telescope Observatory","LBC","<a refstr=NASCIMBENI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A.113N/abstract target=ref>Nascimbeni et al. 2015</a>"
"GJ 1214 b",0.7800,0.0200,,,,,0.11720,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7847,0.0239,,,,,0.11480,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.7850,0.0100,,,,,0.11670,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.7950,0.0100,,,,,0.11600,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8000,0.0200,,,,,0.11720,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8050,0.0100,,,,,0.11560,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8055,0.0175,,,,,0.11530,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.8100,,,,,,0.12038,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8150,0.0100,,,,,0.11760,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8200,,,,,,0.11620,"Isaac Newton Group's Isaac Newton Telescope","WFC","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.8200,0.0200,,,,,0.11830,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8229,0.0174,,,,,0.11520,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.8250,0.0100,,,,,0.11760,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8350,0.0100,,,,,0.11620,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8380,,,,,,0.11735,"La Silla Observatory's 60-cm TRAPPIST Telescope","TRAPPISTCam","<a refstr=GILLON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...563A..21G/abstract target=ref> Gillon et al. 2014</a>"
"GJ 1214 b",0.8400,0.0200,,,,,0.11680,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8409,0.0186,,,,,0.11480,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.8450,0.0100,,,,,0.11720,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8550,,,,,,0.11042,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8550,0.0100,,,,,0.11510,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8597,0.0190,,,,,0.11590,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.8650,0.0100,,,,,0.11680,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8665,,,,,,0.11735,"The Southern Astrophysical Research Telescope","SOI","<a refstr=C_AACUTE_CERES_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...565A...7C/abstract target=ref>C&aacute;ceres et al. 2014</a>"
"GJ 1214 b",0.8750,0.0100,,,,,0.11710,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8770,,,,,,0.11843,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8770,,,,,,0.11754,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8780,0.0176,,,,,0.11380,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.8784,,,,,,0.11724,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8835,,,,,,0.11556,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8835,,,,,,0.11791,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8850,,,,,,0.11595,"Gran Telescopio CANARIAS 10.4m telescope","OSIRIS","<a refstr=WILSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.438.2395W/abstract target=ref> Wilson et al. 2014</a>"
"GJ 1214 b",0.8850,0.0100,,,,,0.11710,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8900,0.2200,,,,,0.11680,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8950,0.0100,,,,,0.11590,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.8967,0.0197,,,,,0.11550,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.9000,,,,,,0.11650,"Max Planck Gesellschaft 2.2 meter Telescope at European Southern Observatory","GROND","<a refstr=DE_MOOIJ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A&A...538A..46D/abstract target=ref>de Mooij et al. 2012</a>"
"GJ 1214 b",0.9050,0.0100,,,,,0.11670,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9150,0.0100,,,,,0.11750,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9162,0.0195,,,,,0.11530,"Magellan I Walter Baade Telescope","IMACS spectrograph","<a refstr=RACKHAM_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017ApJ...834..151R/abstract target=ref>Rackham et al. 2017</a>"
"GJ 1214 b",0.9250,0.0100,,,,,0.11780,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9350,0.0100,,,,,0.11650,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9450,0.0100,,,,,0.11680,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9550,0.0100,,,,,0.11760,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9650,0.0100,,,,,0.11720,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9750,0.0100,,,,,0.11610,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9850,0.0100,,,,,0.11650,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",0.9950,0.0100,,,,,0.11680,"Magellan II Landon Clay Telescope","MMIRS","<a refstr=BEAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...743...92B/abstract target=ref>Bean et al. 2011</a>"
"GJ 1214 b",1.1230,,,,,,0.11641,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.1460,,,,,,0.11707,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.1465,0.0230,1.345100,0.003100,-0.003100,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.1690,,,,,,0.11526,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.1695,0.0230,1.346200,0.003000,-0.003000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.1920,,,,,,0.11589,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.1925,0.0230,1.352400,0.003000,-0.003000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.2150,,,,,,0.11537,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.2165,0.0230,1.344200,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.2390,,,,,,0.11574,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.2395,0.0230,1.351700,0.002800,-0.002800,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.2500,,1.307000,0.034000,-0.031000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",1.2500,,1.368000,0.026000,-0.021000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",1.2500,,,,,,0.11833,"Infrared Survey Facility","SIRIUS","<a refstr=NARITA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013PASJ...65...27N/abstract target=ref>Narita et al. 2013</a>"
"GJ 1214 b",1.2500,,1.334000,0.020000,-0.021000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",1.2500,,1.302000,0.044000,-0.040000,0,,"Canada-France-Hawaii Telescope","WIRCam","<a refstr=CROLL_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...736...78C/abstract target=ref>Croll et al. 2011</a>"
"GJ 1214 b",1.2620,,,,,,0.11662,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.2625,0.0230,1.349500,0.002700,-0.002700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.2850,,,,,,0.11565,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.2855,0.0230,1.350300,0.002700,-0.002700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.3080,,,,,,0.11674,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.3085,0.0230,1.350400,0.002600,-0.002600,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.3310,,,,,,0.11595,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.3315,0.0230,1.351900,0.002600,-0.002600,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.3545,0.0230,1.348800,0.002700,-0.002700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.3550,,,,,,0.11705,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.3775,0.0230,1.352200,0.002700,-0.002700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.3780,,,,,,0.11664,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.4005,0.0230,1.352100,0.002700,-0.002700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
"GJ 1214 b",1.4010,,,,,,0.11778,"Hubble Space Telescope satellite","WFC3","<a refstr=BERTA_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...747...35B/abstract target=ref>Berta et al. 2012</a>"
"GJ 1214 b",1.4235,0.0230,1.348500,0.002700,-0.002700,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014Natur.505...69K/abstract target=ref>Kreidberg et al. 2014</a>"
