plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnratror,facility,instrument,plntranreflink
"WASP-12 b",0.8730,0.0150,1.418000,0.009000,-0.009000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.8870,0.0150,1.403000,0.008000,-0.008000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.9030,0.0150,1.404000,0.008000,-0.008000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.9230,0.0150,1.437000,0.008000,-0.008000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.9250,0.0580,1.442200,0.005500,-0.005500,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",0.9380,0.0150,1.429000,0.009000,-0.009000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.9400,0.1800,,,,,0.11967,"Hubble Space Telescope satellite","Space Telescope Imaging Spectrograph","<a refstr=SING_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.2956S/abstract target=ref> Sing et al. 2013</a>"
"WASP-12 b",0.9520,0.0150,1.422000,0.014000,-0.014000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.9700,0.0150,1.476000,0.014000,-0.014000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",0.9830,0.0580,1.440200,0.005200,-0.005200,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",0.9850,0.0150,1.454000,0.011000,-0.011000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.0000,0.0150,1.424000,0.015000,-0.015000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
"WASP-12 b",1.0410,0.0580,1.442800,0.005100,-0.005100,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.0995,0.0590,1.439100,0.005300,-0.005300,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=KREIDBERG_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...814...66K/abstract target=ref>Kreidberg et al. 2015</a>"
"WASP-12 b",1.1250,0.0500,1.414000,0.013000,-0.013000,0,,"Hubble Space Telescope satellite","Wide Field Camera 3","<a refstr=STEVENSON_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014AJ....147..161S/abstract target=ref>Stevenson et al. 2014</a>"
