pl_name,spec_type,authors,num_datapoints,instrument,facility,minwavelng,maxwavelng,note,bibcode
"HD 209458 b","Transmission","Sing et al. 2016",29,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1217,1.6391,,"2016Natur.529...59S"
"HD 209458 b","Transmission","Sing et al. 2016",2,"Infrared Array Camera (IRAC)","Spitzer Space Telescope satellite",3.5600,4.5000,,"2016Natur.529...59S"
"HD 209458 b","Transmission","Tsiaras et al. 2016",25,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1270,1.6185,"from Table 3; G141 grism","2016ApJ...832..202T"
"HD 209458 b","Transmission","Xue et al. 2024",69,"Near Infrared Camera (NIRCam)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",2.3800,4.9800,"Figure 6, Eureka! pipeline","2024ApJ...963L...5X"
"HD 209458 b","Transmission","Xue et al. 2024",69,"Near Infrared Camera (NIRCam)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",2.3800,4.9800,"Figure 6, Sparta pipeline","2024ApJ...963L...5X"
"TRAPPIST-1 b","Eclipse","Ducrot et al. 2025",2,"Mid-Infrared Instrument (MIRI)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",12.8000,15.0000,"Fiducial Global Joint Fit (Extended Data Table 4)","2025NatAs...9..358D"
"TRAPPIST-1 b","Eclipse","Greene et al. 2023",1,"Mid-Infrared Instrument (MIRI)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",15.0000,15.0000,,"2023Natur.618...39G"
"TRAPPIST-1 b","Transmission","Rathcke et al. 2025",362,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.8031,5.1928,"Mid-Transit Times from Table 1","2025ApJ...979L..19R"
"TRAPPIST-1 b","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1505,1.6613,"from Table 13; G141; transit 2","2018AJ....156..178Z"
"TRAPPIST-1 c","Eclipse","Zieba et al. 2023",1,"Mid-Infrared Instrument (MIRI)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",15.0000,15.0000,,"2023Natur.620..746Z"
"TRAPPIST-1 c","Transmission","Radica et al. 2025",26,"Near Infrared Imager and Slitless Spectrograph (NIRISS)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.7200,2.7700,"Table 3, Visit 1","2025ApJ...979L...5R"
"TRAPPIST-1 c","Transmission","Radica et al. 2025",26,"Near Infrared Imager and Slitless Spectrograph (NIRISS)","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.7200,2.7700,"Table 3, Visit 2","2025ApJ...979L...5R"
"TRAPPIST-1 c","Transmission","Rathcke et al. 2025",362,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.8031,5.1928,"Mid-Transit Times from Table 1","2025ApJ...979L..19R"
"TRAPPIST-1 c","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1505,1.6613,"from Table 13; G141; transit 1","2018AJ....156..178Z"
"TRAPPIST-1 d","Transmission","Piaulet-Ghorayeb et al. 2025",24,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.6960,4.9780,"Table B2, Visit 1","2025ApJ...989..181P"
"TRAPPIST-1 d","Transmission","Piaulet-Ghorayeb et al. 2025",24,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.6960,4.9780,"Table B2, Visit 2","2025ApJ...989..181P"
"TRAPPIST-1 d","Transmission","Zhang et al. 2018",12,"Wide Field Camera 3","Hubble Space Telescope satellite",1.1465,1.6572,"from Table 13; G141; transit 3","2018AJ....156..178Z"
"TRAPPIST-1 e","Transmission","Espinoza et al. 2025",67,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.6292,5.2084,"Figure 2, Visit 4","2025ApJ...990L..52E"
"TRAPPIST-1 e","Transmission","Espinoza et al. 2025",67,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.6292,5.2084,"Figure 2, Visit 2","2025ApJ...990L..52E"
"TRAPPIST-1 e","Transmission","Espinoza et al. 2025",67,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.6292,5.2084,"Figure 2, Visit 1","2025ApJ...990L..52E"
"TRAPPIST-1 e","Transmission","Espinoza et al. 2025",67,"Near Infrared Spectrograph (NIRSpec) - PRISM","NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission",0.6292,5.2084,"Figure 2, Visit 3","2025ApJ...990L..52E"
