source_id,ra,dec,g,bp_rp,parallax,pmra,pmdec,teff_gspphot
1779546757669063552,330.79502626424147,18.88423938290383,7.5212455,0.7129955,20.76938988528237,29.76638948770287,-17.976036440051033,5996.3154
1779537102582565504,330.9904539112814,18.93639797249085,10.007071,1.2409735,1.2543787420575432,9.008444831749479,-16.980795166134115,5082.4688
1779544623069301632,330.6570666400575,18.90066422862596,10.691496,0.5166378,2.0114431303119797,-0.49808230665381004,-14.722565422863475,7230.0747
1779524179024948480,330.87226107716157,18.72406302224811,11.036135,0.70978737,1.8901790985309208,12.440324378194628,-0.10006321778518464,
1779539778346197888,330.72919748189184,18.773355909464538,11.08526,1.301466,1.2705939015170409,-5.886049735758346,-0.9260142480727538,4618.257
1779540774778606976,330.78100629997004,18.8594733969559,11.0941105,0.66598034,1.9168758399019823,-13.023861420908062,-9.871760778616643,6442.959
1779534796184130560,330.86802597099944,18.8649208149067,11.183425,1.346283,0.7431792446715152,3.206711944267083,-3.1719701889527494,
1779547651022263040,330.81496380756977,18.918407872798,11.444244,1.4454231,0.6960592748485805,-4.12839952215633,-3.558955161879714,
1779552182211738496,330.6765398818034,18.997112136806663,12.221,0.7183933,2.4042017338290345,-1.046254038073945,-9.38885461015579,5967.4434
1779526068810559872,330.7462626290233,18.70285736758656,12.295906,1.2084713,0.44005915103606996,2.648017708104794,-3.5661903298675037,4731.416
1779538403956631552,330.66887198109424,18.74406821742184,12.329249,0.82005024,1.61260124109306,-12.816228256967907,-6.926350382054441,5663.839
1779541358894159360,330.6790706223691,18.857620860349186,12.40574,0.80555534,2.452673511770085,3.8640198644058943,-18.35157266051754,5809.5054
1779547406208106752,330.8495745608608,18.943653776992438,12.4677,0.785079,1.060310610820428,0.3192435712922633,-3.6093906923719965,
1779549742670314880,330.85528909700315,18.98294328013946,12.573037,0.8466234,1.8886860753182024,1.1310319354135618,-21.62994832304972,5625.241
1779540744714847104,330.77598221250025,18.856846281688075,12.656589,0.8109436,2.1705651134571537,0.6742736625842696,-17.456876505665456,5686.1953
1779552731967552000,330.7237491393897,19.03904864499889,12.710784,1.3757868,0.7508363660376611,3.2949184081460814,3.2739610433481836,4619.8364
1779546345352233088,330.64377571099146,18.98816339132788,12.743439,1.2107925,1.0241554303718334,14.047829795411571,-2.873579898075446,
1779526206249512576,330.7727844956505,18.71926474299273,12.864148,0.8889055,1.4080168168966307,26.27512982573161,2.2829294355008374,5813.484
1779551877270103168,330.68350456533324,18.96672015039357,12.95385,0.9452858,2.493382942502483,9.176155490080108,3.0736433254809903,5568.8887
1779544730444513664,330.6882704019937,18.893933126168665,12.954953,0.7819357,1.6118839441241872,2.49041816135225,1.9125907873447585,6015.046
1779526824724802048,330.83556854465473,18.733456322276123,13.012102,0.7312889,1.1206924391954374,-4.975133763126091,-8.000686115421557,6097.097
1779545035386161024,330.68202740601265,18.916104663139276,13.0211935,1.5270929,0.13471869637538694,-3.7360128638504637,-6.331213222707374,4517.406
1779545413343283328,330.61603720891964,18.91193103113769,13.024357,0.7282944,1.173580804865619,4.65988196514383,-3.3140832071842903,6222.793
1779526863380959104,330.79882417757176,18.70978920811035,13.113537,1.2581539,1.125365614281029,1.0518607444773682,-14.548736449562465,
1779550812118203136,330.744430160674,18.938163268538048,13.150948,1.1758032,0.2830170639387488,1.0152933778044524,-2.1908791135679015,
1779547749805492224,330.76045979521786,18.912111231067886,13.233214,1.293951,4.267317976516085,-17.187566743986867,-33.99904289137416,4675.0317
1779542634500476672,330.5945312569444,18.829886950506904,13.2762375,1.5961351,6.76177200685598,36.45702680140006,-3.4442611517563613,
1779539297309860864,330.6330810436279,18.77133485258729,13.308683,2.53292,19.004073137749764,-30.107113026858084,-96.85672289918791,
1779547238705397504,330.8547374466157,18.91916707949372,13.353213,1.0001783,1.6725621852784245,1.2296036711493308,-3.199652757821388,5224.288
1779528473992273536,330.84095170274225,18.809698088786714,13.506246,1.0744267,0.5650270198376436,3.001968475190461,0.522859162051188,5157.215
1779552014709140224,330.71044106731114,18.98803452952574,13.51477,1.2981882,0.45094760871800965,1.282243384529405,-1.875012961918722,
1779537098287154048,330.9868501297947,18.936278595769043,13.514995,0.6009178,0.5621522649963548,-3.552599162497723,1.7274284227829944,6757.6523
1779534559961930368,330.8398149702759,18.8258342206293,13.522124,0.96113205,1.1809215848230075,5.787674355985579,0.5996647343235928,5169.0913
1779545898675628928,330.63735790824575,18.938631794588495,13.561254,1.1865902,0.7856152217337763,-15.747187926955558,-8.19315659992054,
1779544352487391232,330.6727991997814,18.874351512412403,13.615939,0.932457,1.83842669815092,-18.361731382240688,-38.054401750115865,5402.7544
1779539847065674240,330.72451088762654,18.781840374156545,13.626643,0.78582096,1.3619052212224423,-8.01826783054675,-13.698629371744225,5843.449
1779524247744424576,330.9005853561246,18.73276074103141,13.62887,0.77217007,1.1425970528264142,0.2665310174127892,-7.837254348274277,5999.45
1779539267246104704,330.6549646660062,18.78267959908706,13.686635,0.8705969,1.0763274032120516,2.9504290938576467,-2.9495851307780403,5634.6924
1779547582302791040,330.7737886127382,18.906618308071216,13.690095,1.2080975,0.4985816374207111,1.4974822136577912,-7.007864978571414,4867.1655
1779528409568757248,330.8559517927786,18.800809376267605,13.719593,1.2697992,0.30756299790864905,1.6438733816255482,-3.602823160826043,4748.3896
1779536518467012480,330.9645301450116,18.906078098433685,13.8024645,1.011117,1.9390094135993807,21.093787574531266,-0.6186441345618127,5269.2446
1779546654589844736,330.8014114006729,18.862132677517298,13.827136,0.89446926,1.4704194355161637,-2.8640174706951727,5.555064252287594,5526.131
1779535281516436736,330.9163868499081,18.901210709389822,13.853896,0.9237213,1.4048849833059485,-16.35287834077628,-23.643282144550156,5367.9424
1779552014709055488,330.71151068040353,18.98524172635125,13.925471,0.8064728,0.7289005934972154,2.810918008468403,-1.8902752920420969,5932.1606
1779542668860210176,330.62574325009257,18.824954377673972,13.9519825,0.8990183,1.6368224989094122,11.853333596128346,1.274977721590628,5660.7305
1779535345939941888,330.9064153560625,18.906542313863895,13.954474,0.89239025,0.8790371593152501,-2.9554613968826433,-5.150511106515673,5496.4375
1779548784893622400,330.9152032113575,18.963323068544376,14.007719,0.74798775,1.105222204392443,1.0711349969897375,-5.414205559030398,6037.8706
