hpx,n,x,y,z
1613,63,-0.4491252650382438,0.6374469588426681,0.6259177064262234
10246,118,-0.05535433737768575,-0.0856059977651943,-0.9946976068508746
114,60,0.5327912352344794,0.7588700969251642,0.37430732316080345
3868,150,0.4481874143849472,-0.3400088777299761,0.8266493619105857
3164,87,0.8242503021840119,-0.4409275309230634,0.35505035414352243
11296,92,0.019176364086086087,-0.12413439735827009,-0.991978773608951
8113,93,-0.15978647395839637,-0.9135004427900685,0.37391201788753275
11339,73,0.2983685303279157,-0.13586201380416565,-0.944629479536254
1050,41,-0.7151997184527806,0.6780911278849491,0.1688638157040129
10997,75,-0.8120135736154643,-0.4085107530470537,-0.41662490091464904
10447,284,-0.39677484053583983,-0.39821472203572134,-0.8269344542131706
2419,84,-0.09400901504081217,-0.6813984986550731,0.7257019198555453
377,138,0.09369319107597604,0.6609416544029746,0.7444032366060721
7075,41,-0.9082262880132099,0.2763514658669298,0.313963097618016
9356,90,-0.09586923206531402,0.31097045977854587,-0.9454847700088135
9327,238,-0.38286313211356837,0.2718973617549043,-0.8827737911675718
2076,50,-0.6217908584725707,-0.7604288393422047,0.18708906836147837
5850,73,0.354416139901608,0.9201078680175868,0.16618992999865523
10873,118,-0.6860320706998363,-0.43424039636662704,-0.5836459994369947
209,58,0.5470907183541008,0.7005418563545074,0.45799509230935054
1927,63,-0.24030170182029797,0.4049189319721033,0.882092703830189
3219,167,0.6018697400306784,-0.7345445579853048,0.31310260624055053
9739,92,-0.05887346417169658,0.5133507804207931,-0.8560416188703021
10240,89,-0.016429331958964215,-0.017831231795731227,-0.9996049586809627
8861,41,0.7404998839333745,0.24611645879150024,-0.6252565318089878
912,134,0.3809649234888853,0.27228781114710654,0.8834829242107662
4454,43,0.8697628301894318,0.4932834251230645,-6.295342902683482E-4
7471,164,0.2880381506080023,-0.9518713116842132,-0.10384311939874717
7514,134,0.5755142514447644,-0.8176796888180464,-8.906662233728636E-5
11801,129,0.2043763352229612,-0.5457161950531202,-0.8125414762450877
11960,228,0.11693603831728666,-0.7882919123687903,-0.6039396678601087
7902,71,-0.30744180888365846,-0.9280083274680787,0.2099965505349461
4905,52,0.9784437855132799,-0.11923616189283771,0.168031408258184
179,64,0.7629243349680028,0.5110731926711952,0.3957160353091418
3139,80,0.8083113960461391,-0.5421671377063372,0.22921972499671747
1967,59,-0.01793676117082276,0.3269091177783615,0.9447809932309226
11483,83,0.4538552534013137,-0.40001405403198786,-0.796123442493462
3117,144,0.6392743392208095,-0.7400872391444016,0.2083910903137594
11337,67,0.285048329035606,-0.09753077961472094,-0.9534353485008374
2023,68,-0.09547454057900273,0.15100489077991527,0.9838279039944879
4268,47,0.9088761078851441,-0.2761298512707509,-0.3123064573832231
3797,181,0.275210392030828,-0.5136119863344744,0.8125664633759554
3428,127,0.7407138942851534,-0.18533821036638223,0.6455877206512692
9717,73,-0.8621427506250413,0.28724549433641844,-0.41719611389378697
10659,202,-0.45811757837093925,-0.5627225191619697,-0.6879520311865147
2378,73,-0.2148017208848811,-0.7832751545482082,0.5832382783216931
12234,95,0.6327187536666334,-0.7328191364213504,-0.2499417644585382
10996,51,-0.813416293422173,-0.3839856602158906,-0.4367163181210597
6773,28,-0.9890871770067412,0.12104355603435221,0.08304227733923489
11232,49,-0.753828968299005,-0.6164414343513998,-0.2271253457203185
9443,177,-0.3386466365935815,0.4451748182681243,-0.8288246155779159
11256,46,-0.7359460903681196,-0.6690189862548335,-0.10306435296428763
8945,29,0.812064616208029,0.3599960521131591,-0.4591045823888257
1032,98,-0.6704299738680195,0.7393031243363212,0.06137141493202585
