source_id,ra,dec,g,bp_rp,parallax,pmra,pmdec,teff_gspphot
4745373133284418816,40.64179116281783,-50.7993179041391,5.256284,0.7264128,57.613144345224306,333.7156354272668,219.42328991689652,6006.4995
4745372171211724928,40.630098684814826,-50.85287087703561,10.80656,1.346714,1.0077477314193402,7.716183165697615,-8.91564240560393,
4745571526413969920,40.565692049293816,-50.61649696548735,11.975953,0.74782276,2.2432643768701985,-4.072524021539229,-0.8918669494058311,5893.8564
4745381448341124096,40.773695138821026,-50.674808936709205,13.090141,1.464057,5.9523587763871015,-20.51065390143244,5.102413302861112,4550.2954
4745564929344184704,40.448015830307675,-50.72192377639635,13.378226,0.89054203,2.0598218170272244,9.44514040631297,-0.9503842081045053,5407.6953
4745384334559144576,40.6568425161101,-50.60559854485297,13.495117,1.3357143,4.533914987454951,48.712334466363174,7.178757914132099,
4745359732986437376,40.719586152574955,-50.9358433609817,13.798338,1.0692959,1.525409196845034,9.053356482568715,-15.81737574862019,5135.6353
4745565479100017664,40.50374653056866,-50.67353317487408,13.862207,0.6733246,0.8801670363190566,1.6720901106320012,12.597062977960167,6239.3975
4745375401027128960,40.38780728063863,-50.809723361558596,13.913026,0.9062109,2.100052489679807,42.12559276042474,28.260544170472407,5576.0317
4745359629907221760,40.63939814329145,-50.947101350819146,13.962036,0.79757214,1.102191862781419,19.346133653951405,13.910168646266957,5671.7515
4745369800389756032,40.55947625990852,-50.965256200079075,14.033462,0.9991646,2.085178141983433,25.078901855151763,13.943364563128533,5166.521
4745383338126712320,40.562252454154724,-50.708541603787324,14.297396,0.754282,0.8763374016007184,17.443477547449916,15.171735511478207,5862.387
4745359080151408896,40.74811719721504,-50.945067158307715,14.319742,1.2236385,2.383363214129746,18.909404541639287,14.297905206857756,4783.7666
4745358805273502848,40.76535911870196,-50.959233351459524,14.335393,1.2471943,2.7976917709238376,30.624334903470736,25.69695684745041,4622.9395
4745357946280042112,40.61543861775817,-50.988643100491515,14.40374,1.0770845,1.7371406851282245,1.4816446062381732,-2.3996448875815486,4903.6216
4745378768281512064,40.74898825369523,-50.75894765468607,14.507723,1.0074987,1.6634071497009297,9.05357204628189,4.025003999301097,5143.609
4745563142637790208,40.37074244281784,-50.79572813226694,14.603227,1.1629429,0.2667335631397909,7.890729418498529,1.7633556767612697,4927.9175
4745365608501719808,40.869334937320026,-50.85833734835704,14.616374,0.75619125,0.839010260601974,12.33147479963521,-7.351130056320694,5796.457
4745359286309838848,40.67857704616887,-50.97284860048061,14.635873,1.2200108,2.1683319813027313,18.10282745768241,19.578887176963235,4691.275
4745371106059813248,40.494577645576534,-50.9073946674509,14.837919,0.9842577,0.9150105671616855,16.610546473148357,5.1891921528274985,5133.845
4745380348829897088,40.83193859573975,-50.72333496815634,15.038703,1.0747108,0.3503308486794981,7.472692119072241,-1.4423300955602907,5737.0854
4745565650898708608,40.439246302390856,-50.67566473652199,15.098831,1.2829638,1.7324618783658061,1.3633658174965753,13.143624706472144,4637.555
4745358014999496704,40.58467493526512,-50.97639081279431,15.194204,1.0164013,1.2398231553491752,20.508271411930277,6.211912383899151,5145.2188
4745374335875218816,40.40980826016015,-50.87505165647045,15.207053,0.81917,0.5364118833977738,0.14901311117302085,-3.0379690276896953,5616.786
4745383441205927040,40.571357106198434,-50.68697635988368,15.301995,0.99196815,1.0817879409597109,7.210918122271465,-9.3146172410646,
4745381448341124224,40.78037026881934,-50.674943857348836,15.345798,2.205759,6.46261004656878,8.305128775476764,30.6259969177673,3713.2332
4745384609437053312,40.78344644566152,-50.62665298368227,15.371976,0.8379116,0.6917026736944285,-0.9002654096362296,0.2938197265276612,5822.0723
4745376053862159232,40.511814057101326,-50.806134172819846,15.380693,0.82087517,0.6819362933873754,12.934127396937267,4.348629410712593,5592.786
4745564791905231360,40.422186041375156,-50.73950954208852,15.43231,2.1433983,5.067591323906688,13.6150721142482,29.261455218230275,3790.5747
4745376019502420736,40.488946225501905,-50.80954578105003,15.516345,0.9128437,0.6507938368654835,-1.319265359828202,-5.707603396139583,5627.6997
4745379111878895104,40.70512935564117,-50.767404525742926,15.576435,0.8929672,0.9151438516617084,-4.604907475128214,-9.911724564059174,5529.2563
4745365574141981184,40.8501289988655,-50.846924184676176,15.595422,0.8623104,0.7724419720947451,11.912864624747339,-21.53549403808362,5448.0264
4745368494719761920,40.94080983673187,-50.767778480244765,15.604263,0.8034363,0.7155584525088632,12.098507113420375,-16.33598064012343,5655.7974
4745372927125968512,40.63254878692143,-50.84273692061713,15.621487,0.8970585,0.8309584984799637,1.985813515605627,1.7838074582191223,5446.588
4745374335875218432,40.40640321266573,-50.862262179417904,15.632395,1.3004513,1.2162367071353166,19.068709266781163,18.285305377461917,4702.269
4745371071700074752,40.460531392638536,-50.90376253479655,15.648758,1.0949306,1.062930093863914,7.167520676007583,0.27576410865474527,4923.51
4745375160508939136,40.38564498894251,-50.85094401055826,15.673911,1.3149061,1.536566377365107,-4.12331750002987,0.3492150204946786,4598.299
4745382376054038400,40.63790671272411,-50.73421256806652,15.6940565,1.09412,0.9960661560831358,12.784031889436203,-10.76713296701169,4916.3413
4745381345261909632,40.81299376270863,-50.673536488274436,15.704783,0.85561943,0.7360433429946386,22.208556102889645,-2.90414143998858,
4745376019502420608,40.48584378350065,-50.80871001742669,15.705587,0.9148693,0.7816317322258138,12.867497156424157,6.578576607449778,5377.0503
4745377325172477696,40.516643688629124,-50.749441899573426,15.800197,1.0348425,0.4002992670054526,6.34692346065136,-1.5506852378722913,5562.3257
4745380589347666304,40.88771529878659,-50.703871226354444,15.880818,0.84455204,0.7598606233849934,8.266234143498965,-0.12868659368541674,5508.9893
4745365780300411520,40.78294788126455,-50.89510041812052,15.8865595,1.3131418,1.1253951191503817,24.2390239019373,8.810535950224525,4533.763
