hostname,pl_name,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_orbeccen,pl_eqt,pl_orbper_reflink,pl_rade_reflink,st_teff,st_rad,st_mass,st_spectype,sy_dist,disc_year,discoverymethod,tran_flag,pl_dens,pl_insol,pl_ratror,pl_imppar,pl_trandur,pl_orbincl,pl_bmassprov,st_met,st_metratio,st_logg,st_age,st_lum,st_rotp,st_vsin
"51 Peg","51 Peg b","b",4.23079660000,0.0520000000,14.10000000,1.26000000,193.87532827,0.006300,1328.93,"<a refstr=CONT_ET_AL_2026 href=https://ui.adsabs.harvard.edu/abs/2026A&A...710A.345C/abstract target=ref>Cont et al. 2026</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>",5761.00,1.190000,1.070000,"G5V",15.46140000,1995,"Radial Velocity",0,0.380000,506.1775,,,,49.80000,"Mass",0.2058,"[Fe/H]",4.317353,10.0000,0.13631,30.00000,2.2000
"AU Mic","AU Mic b","b",8.46344600000,0.0700000000,4.79000000,0.42733591,8.99000000,0.070000,554.80,"<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>","<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>",3540.00,0.862000,0.635000,"M1 V",9.72210000,2020,"Transit",1,0.490000,21.2000,0.04990000,0.502000,3.2400000,88.39000,"Mass",0.0100,"[Fe/H]",4.370000,0.0190,-0.97757,4.86000,9.2000
"AU Mic","AU Mic d","d",12.73596000000,,1.02000000,0.09120000,1.05300000,0.003050,,"<a refstr=WITTROCK_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..232W/abstract target=ref>Wittrock et al. 2023</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>",3678.00,0.744000,0.510000,"M1 V",9.72210000,2023,"Transit Timing Variations",0,5.450000,,,,,89.31812,"Mass",0.2300,"[Fe/H]",4.404000,0.0201,-1.03810,4.83670,8.5000
"AU Mic","AU Mic c","c",18.85902300000,0.1190000000,2.79000000,0.24890756,14.46000000,0.180000,424.70,"<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>","<a refstr=MALLORQUIN_ET_AL_2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...689A.132M/abstract target=ref>Mallorqu&iacute;n et al. 2024</a>",3540.00,0.862000,0.635000,"M1 V",9.72210000,2021,"Transit",1,3.900000,7.3000,0.02910000,0.259000,4.2900000,89.46000,"Mass",0.0100,"[Fe/H]",4.370000,0.0190,-0.97757,4.86000,9.2000
"AU Mic","AU Mic e","e",33.11000000000,,4.87000000,0.43400000,21.10000000,,,"<a refstr=DONATI_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...700A.227D/abstract target=ref>Donati et al. 2025</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>",3665.00,0.820000,0.600000,"M1 V",9.72210000,2025,"Radial Velocity",0,1.000000,,,,,,"Mass",0.1200,"[M/H]",4.520000,0.0185,-0.99000,4.85600,8.5000
"DS Tuc A","DS Tuc A b","b",8.13826800000,,5.70000000,0.50851994,413.17900000,0.000000,850.00,"<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>","<a refstr=NEWTON_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L..17N/abstract target=ref>Newton et al. 2019</a>",5428.00,0.964000,1.010000,"G6 V",44.06220000,2019,"Transit",1,,317.6063,0.05419000,0.180000,3.1764000,89.50000,"Mass",0.0000,,4.600000,0.0450,-0.13966,2.85000,17.8000
"GJ 1214","GJ 1214 b","b",1.58040453100,0.0150500000,2.73300000,0.24382235,8.41000000,0.006200,567.00,"<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>","<a refstr=MAHAJAN_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJ...963L..37M/abstract target=ref>Mahajan et al. 2024</a>",3101.00,0.216200,0.182000,"M4 V",14.64270000,2009,"Transit",1,2.260000,17.2000,0.11589000,0.264000,0.8696600,88.98000,"Mass",0.2400,"[Fe/H]",5.028600,3.0000,-2.40894,124.70000,2.0000
"HD 209458","HD 209458 b","b",3.52474859000,0.0470700000,15.58051000,1.39000000,232.01590000,0.000000,1459.00,"<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>","<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>",6091.00,1.190000,1.230000,"G0 V",48.30160000,1999,"Radial Velocity",1,0.362000,587.0980,0.12086000,0.507000,3.0720000,86.71000,"Mass",0.0100,"[Fe/H]",4.450000,3.1000,0.23086,10.65000,4.4000
"HD 39091","pi Men c","c",6.26783990000,0.0683900000,2.01890000,0.18011450,3.63000000,0.000000,1169.80,"<a refstr=KUNOVAC_HODZIC_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2893K/abstract target=ref>Kunovac Hod&#x17E;i&#x107; et al. 2021</a>","<a refstr=KUNOVAC_HODZIC_ET_AL_2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.2893K/abstract target=ref>Kunovac Hod&#x17E;i&#x107; et al. 2021</a>",5998.00,1.170000,1.070000,"G0 V",18.27020000,2018,"Transit",1,2.800000,309.0000,0.01584400,0.646500,2.9520240,87.04500,"Mass",0.0900,"[Fe/H]",4.430000,2.9800,0.15836,18.30000,3.1600
"HD 39091","pi Men d","d",124.64000000000,0.5060000000,3.72000000,0.33200000,13.38000000,0.220000,443.55,"<a refstr=HATZES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..223H/abstract target=ref>Hatzes et al. 2022</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>",5998.00,1.190000,1.070000,"G0 V",18.27020000,2022,"Radial Velocity",0,1.430000,5.6398,,,,,"Msini",0.0900,"[Fe/H]",4.360000,3.9200,0.15957,18.30000,3.3400
"HD 39091","HD 39091 b","b",2088.80000000000,3.2800000000,12.30000000,1.10000000,4481.38053870,0.642000,172.74,"<a refstr=DAMASSO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A..31D/abstract target=ref>Damasso et al. 2020</a>","<a refstr=CALCULATED_VALUE href=/docs/pscp_calc.html target=_blank>Calculated Value</a>",5998.00,1.170000,1.070000,"G0 V",18.27020000,2001,"Radial Velocity",0,13.200000,0.1342,,,,45.80000,"Mass",0.0900,"[Fe/H]",4.430000,3.9200,0.15957,18.30000,3.3400
