TIME_stored,BJD_like,QUALITY,SAP_FLUX,PDCSAP_FLUX,SAP_frac_resid_2d,PDCSAP_frac_resid_2d
2.474160629403649637e+03,2.459474160629403777e+06,1.680000000000000000e+02,nan,nan,nan,nan
2.474162018427433850e+03,2.459474162018427625e+06,3.200000000000000000e+01,nan,nan,nan,nan
2.474163407451333569e+03,2.459474163407451473e+06,3.200000000000000000e+01,nan,nan,nan,nan
2.474164796475117328e+03,2.459474164796475321e+06,3.200000000000000000e+01,nan,nan,nan,nan
2.474166185499017956e+03,2.459474166185499169e+06,1.600000000000000000e+01,nan,nan,nan,nan
2.474167574522918130e+03,2.459474167574523017e+06,1.600000000000000000e+01,nan,nan,nan,nan
2.474168963546817849e+03,2.459474168963546865e+06,1.600000000000000000e+01,nan,nan,nan,nan
2.474170352570833984e+03,2.459474170352570713e+06,1.600000000000000000e+01,nan,nan,nan,nan
2.474171741594734613e+03,2.459474171741594560e+06,0.000000000000000000e+00,4.868093750000000000e+03,5.984399902343750000e+03,0.000000000000000000e+00,0.000000000000000000e+00
2.474173130618634332e+03,2.459474173130618408e+06,0.000000000000000000e+00,4.884697265625000000e+03,5.993827148437500000e+03,3.410681157280492926e-03,1.575303497023616828e-03
2.474174519642651376e+03,2.459474174519642722e+06,0.000000000000000000e+00,4.867489746093750000e+03,5.970620117187500000e+03,-1.240740086918545870e-04,-2.302617702879983241e-03
2.474175908666667510e+03,2.459474175908666570e+06,0.000000000000000000e+00,4.878691894531250000e+03,5.985117675781250000e+03,2.177062537312535184e-03,1.199407541629948781e-04
2.474177297690684554e+03,2.459474177297690883e+06,0.000000000000000000e+00,4.873977050781250000e+03,5.987930175781250000e+03,1.208543032116038418e-03,5.899126888424532922e-04
2.474178686714700689e+03,2.459474178686714731e+06,0.000000000000000000e+00,4.849605957031250000e+03,5.964516113281250000e+03,-3.797747931364336971e-03,-3.322603667364032454e-03
2.474180075738716823e+03,2.459474180075738579e+06,0.000000000000000000e+00,4.884296875000000000e+03,6.008802246093750000e+03,3.328433229125904447e-03,4.077659272142319935e-03
2.474181464762848464e+03,2.459474181464762893e+06,0.000000000000000000e+00,4.874439453125000000e+03,5.981486328125000000e+03,1.303529358899435664e-03,-4.868615510820184511e-04
2.474182853786865508e+03,2.459474182853786740e+06,0.000000000000000000e+00,4.881229003906250000e+03,5.988474609375000000e+03,2.698233555228801706e-03,6.808881588367121651e-04
2.474184242810998967e+03,2.459474184242811054e+06,0.000000000000000000e+00,4.865371093750000000e+03,5.976085937500000000e+03,-5.592859114514903141e-04,-1.389272939546382091e-03
2.474185631835016011e+03,2.459474185631834902e+06,0.000000000000000000e+00,4.887556640625000000e+03,5.995657226562500000e+03,3.998051727126306076e-03,1.881111623964315527e-03
2.474187020859149470e+03,2.459474187020859215e+06,0.000000000000000000e+00,4.865607421875000000e+03,5.977460937500000000e+03,-5.107395733700004214e-04,-1.159508882591975265e-03
2.474188409883282020e+03,2.459474188409883063e+06,0.000000000000000000e+00,4.862894042968750000e+03,5.969488281250000000e+03,-1.068119740144646279e-03,-2.491748769648527428e-03
2.474189798907415479e+03,2.459474189798907377e+06,0.000000000000000000e+00,4.863162109375000000e+03,5.971547363281250000e+03,-1.013053749221670685e-03,-2.147673830665386419e-03
2.474191187931664444e+03,2.459474191187931690e+06,0.000000000000000000e+00,4.875173828125000000e+03,5.983918457031250000e+03,1.454384095417315947e-03,-8.045005687395967442e-05
2.474192576955797904e+03,2.459474192576956004e+06,0.000000000000000000e+00,4.878386230468750000e+03,5.984720703125000000e+03,2.114273265330979257e-03,5.360617379945864514e-05
2.474193965980046414e+03,2.459474193965979852e+06,0.000000000000000000e+00,4.879265136718750000e+03,5.996459472656250000e+03,2.294817497865642153e-03,2.015167854637622824e-03
2.474195355004178509e+03,2.459474195355004165e+06,0.000000000000000000e+00,4.857463378906250000e+03,5.969166503906250000e+03,-2.183682492505445438e-03,-2.545518128147516990e-03
2.474196744028427929e+03,2.459474196744028479e+06,0.000000000000000000e+00,4.867118652343750000e+03,5.979895507812500000e+03,-2.003037957619691056e-04,-7.526894266350891982e-04
2.474198133052677349e+03,2.459474198133052792e+06,0.000000000000000000e+00,4.889939941406250000e+03,6.003914062500000000e+03,4.487627504349056551e-03,3.260838258587472893e-03
2.474199522076926314e+03,2.459474199522077106e+06,0.000000000000000000e+00,4.869640136718750000e+03,5.980427734375000000e+03,3.176575469094888859e-04,-6.637537653849667763e-04
2.474200911101176189e+03,2.459474200911100954e+06,0.000000000000000000e+00,4.851726074218750000e+03,5.991516601562500000e+03,-3.362235121550427586e-03,1.189208497908600393e-03
2.474202300125542479e+03,2.459474202300125733e+06,0.000000000000000000e+00,4.865576660156250000e+03,5.984778808593750000e+03,-5.170586215086370174e-04,6.331566342199224096e-05
2.474203689149792353e+03,2.459474203689149581e+06,0.000000000000000000e+00,4.869034179687500000e+03,5.978464355468750000e+03,1.931823288119360882e-04,-9.918366038130788098e-04
2.474205078174158643e+03,2.459474205078174360e+06,0.000000000000000000e+00,4.876919433593750000e+03,5.983921875000000000e+03,1.812965001701138945e-03,-7.987891042560146815e-05
2.474206467198523569e+03,2.459474206467198674e+06,0.000000000000000000e+00,4.872572753906250000e+03,5.983517578125000000e+03,9.200734694663204039e-04,-1.474373760357305940e-04
2.474207856222772079e+03,2.459474207856222987e+06,0.000000000000000000e+00,4.867221679687500000e+03,5.977848632812500000e+03,-1.791399996148301810e-04,-1.094724556873982735e-03
2.474209245247138369e+03,2.459474209245247301e+06,0.000000000000000000e+00,4.882319335937500000e+03,6.000349121093750000e+03,2.922208705923079464e-03,2.665132512911450036e-03
2.474210634271620165e+03,2.459474210634271614e+06,0.000000000000000000e+00,4.879611328125000000e+03,5.993133300781250000e+03,2.365931865013992663e-03,1.459360767999351438e-03
2.474212023295986455e+03,2.459474212023295928e+06,0.000000000000000000e+00,4.869424804687500000e+03,5.985430664062500000e+03,2.734242099384776026e-04,1.722414503659841500e-04
2.474213412320351836e+03,2.459474213412320241e+06,0.000000000000000000e+00,4.847584960937500000e+03,5.967121093750000000e+03,-4.212899363842392830e-03,-2.887308481337114152e-03
2.474214801344833631e+03,2.459474214801345021e+06,0.000000000000000000e+00,4.877920410156250000e+03,5.993936035156250000e+03,2.018584822087721165e-03,1.593498591022424193e-03
2.474216190369199921e+03,2.459474216190369334e+06,0.000000000000000000e+00,4.856514160156250000e+03,5.965539062500000000e+03,-2.378670263642690408e-03,-3.151667694594295632e-03
2.474217579393681717e+03,2.459474217579393648e+06,0.000000000000000000e+00,4.879007812500000000e+03,5.998306152343750000e+03,2.241958158673451607e-03,2.323750121470569141e-03
2.474218968418164422e+03,2.459474218968417961e+06,0.000000000000000000e+00,4.862052734375000000e+03,5.995737792968750000e+03,-1.240940691620839864e-03,1.894574361676504282e-03
2.474220357442645764e+03,2.459474220357442740e+06,0.000000000000000000e+00,4.874161132812500000e+03,5.981365722656250000e+03,1.246357018596766508e-03,-5.070148614754188543e-04
