name,tic,ra_deg,dec_deg,tmag,depth_ppm,duration_h,t0_bjd,disposition,toi_rowupdate,score,rationale,rank
TOI-6525.01,147193084,162.271012,-45.085546,13.463,19143.0,3.429,2460018.452985,PC,2025-05-20 12:03:11,7194.386109561343,"depth 19143 ppm, duration 3.43 h, Tmag 13.46 → score 7194",806
TOI-3804.01,312991501,134.655352,74.459183,13.1225,18079.622642,2.7899266,2460313.036448,PC,2024-09-10 10:08:02,7169.448516359669,"depth 18080 ppm, duration 2.79 h, Tmag 13.12 → score 7169",807
TOI-4681.01,248689510,68.143794,-4.785446,13.3206,20390.0,2.628,2459194.880219,PC,2024-08-22 10:08:01,7163.24666434402,"depth 20390 ppm, duration 2.63 h, Tmag 13.32 → score 7163",808
TOI-6439.01,122981686,118.154066,-4.335076,12.2879,13951.0,2.168,2459982.473246,APC,2024-08-22 10:08:01,7162.34073055902,"depth 13951 ppm, duration 2.17 h, Tmag 12.29 → score 7162",809
TOI-2487.01,394346745,42.888322,-81.006992,12.8466,14990.0,3.141,2459382.603668,PC,2025-07-22 12:04:25,7161.691365081353,"depth 14990 ppm, duration 3.14 h, Tmag 12.85 → score 7162",810
TOI-3068.01,458995583,161.412843,-58.133377,12.7752,20720.0,1.539,2459331.451714,PC,2025-02-18 12:03:47,7160.923941843454,"depth 20720 ppm, duration 1.54 h, Tmag 12.78 → score 7161",811
TOI-5752.01,349440621,250.384451,23.578282,13.4016,22640.0,2.294,2459723.423495,PC,2024-08-22 10:08:01,7159.012641436464,"depth 22640 ppm, duration 2.29 h, Tmag 13.40 → score 7159",812
TOI-6330.01,308120029,22.167982,53.686078,13.7853,33133.0,1.525,2459901.36046,PC,2025-01-15 12:03:15,7158.725047385117,"depth 33133 ppm, duration 1.52 h, Tmag 13.79 → score 7159",813
TOI-3030.01,465275307,163.111582,-64.523443,12.804,16930.0,2.355,2459360.048392,PC,2024-08-22 10:08:01,7142.535602632675,"depth 16930 ppm, duration 2.35 h, Tmag 12.80 → score 7143",814
TOI-1886.01,403136415,333.559696,-55.373338,13.0934,18573.9655629,2.5536063,2459062.639615,PC,2024-04-25 10:08:01,7141.700060049141,"depth 18574 ppm, duration 2.55 h, Tmag 13.09 → score 7142",815
